Obs,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt,MEASUREMENT_HEADER_END
11,10:25:11,2025-08-28,Manual gsw+F,LI-COR Default,,11,,,0.008,2.922202,0.007978,0.195781,0.758636,0.754227,2.695806,1.93717,9.349997,9.404652,33.419353,0.441786,7.5,PSF-00232_20250828102511_a50,0,0,0,114.69519,324.008209,0.646011,0.5,0.8,49.01392,1,25.42,25.27,23.94,22.26,22.26,80.67,156.8,154.7,1.3,190,4.003,10:18:24,2025-08-28,0.28,1,0.001,0,0.001,-1.321,-3.034,-6.996,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,321.754578,25,-1.48002,320.607666,321.887482,-1.279816,2.445894,2.454036,1.643838,0.924538,0.284475,-0.019048,0.210971,0.265201,114.69519,0.000654,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102511_a50,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
12,10:25:52,2025-08-28,Manual gsw+F,LI-COR Default,,12,,,0.001595,2.922819,0.001595,0.039599,0.792419,0.791528,2.751589,1.95917,9.81235,9.823395,34.110672,0.441786,7.5,PSF-00232_20250828102552_393,0,0,0,79.782845,359.623993,0.778149,0.5,0.8,28.384811,1,26.78,26.75,23.8,22.6,22.6,80.67,156.8,152.4,2.8,91,4.001,10:18:24,2025-08-28,0.28,1,0,0.001,0,0.075,-0.043,-0.07,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,349.521149,25,-6.953919,348.24408,349.659668,-1.415588,2.448282,2.456253,1.644488,0.91902,0.286137,-0.013556,0.214531,0.183096,79.782845,0.000651,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102552_393,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
13,10:27:42,2025-08-28,Manual gsw+F,LI-COR Default,,13,,,0.011692,2.921023,0.011645,0.254916,0.775448,0.769703,2.505203,1.729756,9.542445,9.613661,31.058422,0.441786,7.5,PSF-00232_20250828102742_ab6,0,0,0,75.296043,304.916168,0.75306,0.5,0.8,56.456413,1,26.71,26.51,23.48,21.06,21.06,80.66,156.6,154.7,1.2,187,4,10:18:24,2025-08-28,0.28,1,-0.001,-0.003,0.003,0.176,0.267,0.78,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,298.753723,25,-4.099076,299.057709,299.042572,0.015137,2.447948,2.456183,1.6426,0.924692,0.289749,-0.027192,0.223943,0.26332,75.296043,0.000646,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102742_ab6,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
14,10:28:10,2025-08-28,Manual gsw+F,LI-COR Default,,14,,,0.017232,2.921986,0.017131,0.379572,0.760133,0.751585,2.511086,1.750952,9.317702,9.423682,31.130959,0.441786,7.5,PSF-00232_20250828102810_3ce,0,0,0,123.733879,372.474701,0.667806,0.5,0.8,35.221207,1,26.3,26,23.41,21.1,21.1,80.66,156.7,155.1,1.1,132,3.997,10:18:24,2025-08-28,0.28,1,-0.002,0,0,-1.4,0.473,19.968,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,369.486084,25,-1.694043,370.658386,370.047302,0.611084,2.447147,2.455534,1.643611,0.92557,0.2906,-0.025925,0.226295,0.216994,123.733879,0.000658,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102810_3ce,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
15,10:28:30,2025-08-28,Manual gsw+F,LI-COR Default,,15,,,0.014898,2.922224,0.014822,0.334434,0.767853,0.760323,2.550369,1.782516,9.426037,9.519387,31.617966,0.441786,7.5,PSF-00232_20250828102830_64c,0,0,0,106.203674,404.640472,0.737536,0.5,0.8,31.71965,1,26.64,26.38,23.36,21.35,21.35,80.66,156.8,154.3,1.6,108,3.999,10:18:24,2025-08-28,0.28,1,0.005,0.001,-0.002,0.767,0.682,-1.101,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,401.563538,25,-1.980615,402.055634,401.802429,0.253204,2.447765,2.4561,1.643862,0.923669,0.291184,-0.022523,0.227904,0.196706,106.203674,0.000644,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102830_64c,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
16,10:29:15,2025-08-28,Manual gsw+F,LI-COR Default,,16,,,0.01165,2.922605,0.011604,0.25456,0.764526,0.758796,2.498306,1.733779,9.40708,9.478116,30.972427,0.441786,7.5,PSF-00232_20250828102915_82d,0,0,0,117.918846,381.561035,0.690957,0.5,0.8,37.742737,1,26.65,26.45,23.29,21.02,21.02,80.66,156.8,155,1.1,137,3.997,10:28:52,2025-08-28,0.21,1,-0.001,0,0.001,0.25,2.715,5.777,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,381.561035,25,6.812447,389.417755,391.322662,-1.904907,2.447878,2.456226,1.644263,0.925425,0.292042,-0.025428,0.231655,0.220917,117.918846,0.000653,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102915_82d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
17,10:29:42,2025-08-28,Manual gsw+F,LI-COR Default,,17,,,0.003152,2.919983,0.003149,0.07288,0.759549,0.757905,2.58781,1.828261,9.395947,9.416327,32.081745,0.441786,7.5,PSF-00232_20250828102942_8c8,0,0,0,94.414833,387.789734,0.756531,0.5,0.8,31.030737,1,26.56,26.51,23.23,21.59,21.59,80.66,156.5,155.1,0.9,103,3.995,10:28:52,2025-08-28,0.21,1,0,-0.002,-0.003,0.035,0.09,0.326,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,383.970032,25,-2.473956,384.039764,384.244781,-0.205017,2.447983,2.456103,1.64151,0.925639,0.292708,-0.018359,0.233878,0.192558,94.414833,0.000634,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828102942_8c8,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
18,10:30:25,2025-08-28,Manual gsw+F,LI-COR Default,,18,,,0.013885,2.923288,0.013819,0.326214,0.761347,0.754008,2.625501,1.864154,9.347746,9.438733,32.549419,0.441786,7.5,PSF-00232_20250828103025_e80,0,0,0,123.080132,534.473389,0.769717,0.5,0.8,26.122614,1,26.78,26.52,23.14,21.83,21.83,80.66,156.9,18.6,88.1,85,3.996,10:28:52,2025-08-28,0.21,1,-0.017,-0.028,-0.023,-0.709,3.36,4.316,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,502.459656,25,-21.862949,492.73288,503.145782,-10.412903,2.448018,2.45646,1.644982,0.634902,0.293803,-0.014631,0.237325,0.177804,123.080132,0.000653,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828103025_e80,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
19,10:31:00,2025-08-28,Manual gsw+F,LI-COR Default,,19,,,0.028317,2.922306,0.028046,0.715613,0.65652,0.640387,2.672096,2.015576,7.939662,8.139675,33.129223,0.441786,7.5,PSF-00232_20250828103100_88f,0,0,0,89.565041,278.030182,0.677859,0.5,0.8,38.997406,1,23.21,22.64,23.05,22.11,22.11,80.66,156.8,8.2,94.8,144,3.995,10:28:52,2025-08-28,0.21,1,0.001,-0.002,-0.005,0.632,-0.174,-2.573,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,273.625366,25,-2.555574,273.392548,274.368286,-0.975739,2.441764,2.450683,1.643948,0.616127,0.294824,-0.010385,0.240052,0.226974,89.939476,0.000651,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828103100_88f,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
20,10:32:51,2025-08-28,Manual gsw+F,LI-COR Default,,20,,,0.005218,2.923492,0.005208,0.128079,0.618306,0.61542,2.562838,1.944532,7.629396,7.665178,31.771667,0.441786,7.5,PSF-00232_20250828103251_35a,0,0,0,125.582817,414.486053,0.697016,0.5,0.8,19.766886,1,22.08,21.98,22.88,21.43,21.43,80.66,156.9,155.1,1.1,71,3.99,10:28:52,2025-08-28,0.21,1,0.002,0.003,-0.002,0.124,-0.722,-0.458,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,414.486053,25,3.166808,411.538849,419.023804,-7.484955,2.440695,2.448836,1.645198,0.925724,0.296786,-0.016166,0.248884,0.166177,125.582817,0.000638,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828103251_35a,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
21,10:33:39,2025-08-28,Manual gsw+F,LI-COR Default,,21,,,0.009183,2.921968,0.009154,0.222383,0.671436,0.666422,2.591446,1.920009,8.261552,8.323713,32.125828,0.441786,7.5,PSF-00232_20250828103339_9a8,0,0,0,93.42778,405.567261,0.769637,0.5,0.8,28.600834,1,24.08,23.9,22.82,21.61,21.61,80.67,156.7,99.4,36.6,93,3.991,10:28:52,2025-08-28,0.21,1,0.002,0.002,0.013,-0.026,-0.097,-0.01,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,397.622833,25,-5.350564,397.839203,397.900391,-0.061188,2.443842,2.452131,1.643593,0.795562,0.29757,-0.013377,0.252655,0.184522,93.42778,0.000674,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828103339_9a8,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
22,10:35:15,2025-08-28,Manual gsw+F,LI-COR Default,,22,,,0.02234,2.92272,0.022171,0.552973,0.731084,0.718632,2.700251,1.969167,8.908596,9.062957,33.473946,0.441786,7.5,PSF-00232_20250828103515_d6d,0,0,0,104.297516,305.667267,0.658787,0.5,0.8,58.233105,1,26.31,25.86,22.76,22.29,22.29,80.67,156.8,96.4,38.5,221,3.989,10:28:52,2025-08-28,0.21,1,0.002,0.001,0.008,1.944,3.401,2.907,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,300.90094,25,-3.116023,301.374084,301.202301,0.171783,2.447028,2.455769,1.644384,0.789105,0.298302,-0.005073,0.260408,0.2913,104.297516,0.000645,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828103515_d6d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
23,10:35:43,2025-08-28,Manual gsw+F,LI-COR Default,,23,,,-0.002055,2.922916,-0.002056,-0.05029,0.742389,0.743521,2.673618,1.931229,9.216254,9.202221,33.140602,0.441786,7.5,PSF-00232_20250828103543_ad4,0,0,0,92.472908,324.431763,0.71497,0.5,0.8,36.365566,1,26.72,26.76,22.76,22.12,22.12,80.68,156.9,41.4,73.6,127,3.988,10:28:52,2025-08-28,0.21,1,-0.003,0.003,0.009,0.479,-0.198,0.03,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,324.431763,25,0.281131,325.821869,324.834595,0.987274,2.448455,2.456419,1.64459,0.677315,0.298287,-0.006929,0.262585,0.213079,92.472908,0.000653,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828103543_ad4,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
24,10:36:28,2025-08-28,Manual gsw+F,LI-COR Default,,24,,,-0.027637,2.921865,-0.0279,-0.246566,0.712823,0.71838,1.416326,0.703503,8.905142,8.83625,17.55698,0.441786,7.5,PSF-00232_20250828103628_0ea,0,0,0,1.719475,1.71411,-0.00313,0.5,0.8,-0.198614,1,25.63,25.83,22.77,12.09,12.09,80.67,156.7,-10.6,106.8,159,3.988,10:28:52,2025-08-28,0.21,1,-9999,-9999,-9999,-9999,-9999,-9999,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,1.71411,25,-0.009012,1.692295,1.701197,-0.008902,2.446969,2.454664,1.643484,0.583395,0.298103,-0.114456,0.266005,0.239341,1.719475,0.000651,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828103628_0ea,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
25,10:36:52,2025-08-28,Manual gsw+F,LI-COR Default,,25,,,-0.013196,2.921737,-0.013256,-0.332052,0.695371,0.702858,2.67397,1.978599,8.712562,8.619757,33.146301,0.441786,7.5,PSF-00232_20250828103652_93b,0,0,0,117.340561,394.931671,0.702884,0.5,0.8,48.552681,1,25,25.26,22.78,22.13,22.13,80.67,156.7,153.8,1.8,173,3.986,10:28:52,2025-08-28,0.21,1,-0.001,-0.002,-0.001,1.248,1.637,0.641,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,394.931671,25,1.037465,396.124725,396.418274,-0.293549,2.446063,2.453637,1.643349,0.922466,0.298057,-0.007125,0.26787,0.251038,117.340561,0.000648,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828103652_93b,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
