sr,bed,row,col,unique_id,svc,li600,time,date,config_name,config_author,remark,observation,x8,x9,gsw,gbw,gtw,e_apparent,v_pcham,v_pref,v_pleaf,vp_dleaf,h2o_r,h2o_s,h2o_leaf,leaf_area,leaf_width,flash_id,fo,fm,fv_fm,fs,fm_2,phi_ps2,ps2_1,abs,etr,trans,rh_s,rh_r,tref,tmeas,tleaf,p_atm,flow,flow_s,leak_pct,qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,bla,blb,blc,bld,ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,p1_dur,p2_dur,p3_dur,p1_fmax,p2_ramp,p2_slp,p3_fmax,p3_pred,p3_delta_f,v_hum_a,v_hum_b,v_flow_in,v_flow_out,v_temp,v_irt,v_pres,v_par,v_f,i_led,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flow_in,z_flow_out,z_quantum,z_flr,flash_id_2,lci_ser_num,lcp_ser_num,lcf_ser_num,lcrh_ser_num,version,config_updated_at,x7,x8.x,x9.x,survey_notes,x8.y,x9.y,genotype,type.x,type.y,measurement_header_end
11,C,19,A,2063,9,12,11:03:34,2025-07-23,Manual gsw+F,LI-COR Default,NA,012,NA,NA,0.016338,2.211925,0.016219,0.515505,1.129047,1.110617,3.604096,2.47505,13.841927,14.071616,44.918835,0.441786,7.5,PSF-00232_20250723110334_578,0,0,0,65.179108,165.183807,0.605415,0.5,0.8,379.292847,1,37.25,36.64,24.2,27.12,27.12,80.24,97.8,82.7,15.4,1566,4.076,10:55:12,2025-07-23,0.09,1,-0.001,-0,0.001,0.578,1.051,2.192,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,151.795868,25,-9.647339,149.360062,151.360046,-1.999985,2.463441,2.472689,1.182728,0.75998,0.281599,0.034362,0.139354,1.412809,65.179108,6.32e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723110334_578,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,c,19,B,2236,10,13,11:04:15,2025-07-23,Manual gsw+F,LI-COR Default,NA,013,NA,NA,0.018688,2.144851,0.018526,0.541267,1.049505,1.029281,3.330089,2.280584,12.826167,13.078186,41.497211,0.441786,7.5,PSF-00232_20250723110415_890,0,0,0,66.883209,207.076141,0.677011,0.5,0.8,462.742615,1,34.12,33.47,24.44,25.78,25.78,80.25,93.6,87.4,6.6,1709,4.074,10:55:12,2025-07-23,0.09,1,-0.001,-0.001,-0.001,0.467,0.807,1.237,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,186.616302,25,-14.965256,185.079575,185.632294,-0.552719,2.458595,2.467899,1.15357,0.769872,0.278857,0.015613,0.14245,1.531621,66.883209,6.23e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723110415_890,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,C,20,B,2213,11,14,11:05:12,2025-07-23,Manual gsw+F,LI-COR Default,NA,014,NA,NA,0.040293,2.197384,0.039567,1.260681,1.090109,1.044592,3.57256,2.482451,13.017569,13.584803,44.52079,0.441786,7.5,PSF-00232_20250723110512_ff8,0,0,0,65.114021,142.128448,0.541865,0.5,0.8,377.946991,1,34.77,33.32,24.77,26.97,26.97,80.24,96.9,79.6,17.8,1744,4.073,10:55:12,2025-07-23,0.09,1,0.001,0.002,0.005,0.412,0.788,1.594,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,125.615356,25,-12.892138,120.419739,123.65519,-3.235451,2.458305,2.468817,1.176287,0.75338,0.275292,0.025902,0.146788,1.560769,65.114021,6.1e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723110512_ff8,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,C,21,A,2370,12,15,11:06:13,2025-07-23,Manual gsw+F,LI-COR Default,NA,015,NA,NA,0.004964,2.248203,0.004953,0.13373,1.059334,1.054658,3.16879,2.109456,13.143503,13.201777,39.490532,0.441786,7.5,PSF-00232_20250723110613_3e2,0,0,0,76.277733,290.40271,0.737338,0.5,0.8,374.02417,1,33.28,33.13,25.02,24.94,24.94,80.24,100,78.2,21.8,1268,4.07,11:05:42,2025-07-23,0.26,1,0,-0,-0.003,0.152,0.574,0.883,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,276.737091,25,-9.358953,277.381897,276.992188,0.389709,2.457973,2.466223,1.199106,0.750554,0.272505,-8.9e-4,0.151473,1.164296,77.316284,6.44e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723110613_3e2,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,C,22,A,2638,13,16,11:07:00,2025-07-23,Manual gsw+F,LI-COR Default,NA,016,NA,NA,0.001356,2.168883,0.001355,0.050049,1.056226,1.054385,3.927131,2.870905,13.139944,13.162889,48.940632,0.441786,7.5,PSF-00232_20250723110700_e94,0,0,0,72.566628,81.401108,0.10853,0.5,0.8,88.119843,1,32.79,32.74,25.22,28.59,28.59,80.24,95.1,84.2,11.4,2030,4.069,11:05:42,2025-07-23,0.26,1,-0.001,-0.002,0.001,-2.153,-1.388,-0.015,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,81.401108,25,6.686845,84.356544,90.98275,-6.626205,2.457338,2.465446,1.163856,0.763144,0.270382,0.04003,0.155084,1.799293,72.566628,6.08e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723110700_e94,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,C,23,A,2489,14,17,11:07:39,2025-07-23,Manual gsw+F,LI-COR Default,NA,017,NA,NA,0.002682,2.123425,0.002678,0.076114,1.102026,1.099145,3.319562,2.217536,13.697274,13.733183,41.367584,0.441786,7.5,PSF-00232_20250723110739_db0,0,0,0,77.216148,257.593353,0.70024,0.5,0.8,409.70639,1,33.95,33.86,25.35,25.72,25.72,80.25,92.4,85.2,7.7,1463,4.068,11:05:42,2025-07-23,0.26,1,-0,-0.001,0.002,0.352,0.807,1.586,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,246.407745,25,-7.686675,245.472198,246.579056,-1.106857,2.459022,2.467192,1.144544,0.765192,0.268977,0.00438,0.158002,1.32651,77.216148,6.42e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723110739_db0,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,C,23,B,2564,15,18,11:08:42,2025-07-23,Manual gsw+F,LI-COR Default,NA,018,NA,NA,0.031658,2.214754,0.031212,0.957956,1.121141,1.086945,3.513149,2.392007,13.54385,13.969953,43.775501,0.441786,7.5,PSF-00232_20250723110842_c7d,0,0,0,69.79644,178.56221,0.60912,0.5,0.8,460.372253,1,34.12,33.07,25.55,26.68,26.68,80.25,97.9,35.3,64,1889,4.067,11:05:42,2025-07-23,0.26,1,0.001,0.001,0.005,-0.112,-1.211,-2.349,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,168.78891,25,-6.76801,167.358398,168.864273,-1.505875,2.457791,2.467406,1.18399,0.66568,0.266765,0.013219,0.162589,1.682289,69.79644,6.15e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723110842_c7d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,C,25,A,2505,16,19,11:09:47,2025-07-23,Manual gsw+F,LI-COR Default,NA,019,NA,NA,0.005326,2.188037,0.005313,0.165465,1.091714,1.085703,3.519166,2.427452,13.528127,13.603022,43.849667,0.441786,7.5,PSF-00232_20250723110947_dd8,0,0,0,58.336617,180.509857,0.676823,0.5,0.8,433.870544,1,32.73,32.55,25.81,26.71,26.71,80.26,96.3,39,59.5,1603,4.064,11:05:42,2025-07-23,0.26,1,0.002,0.003,0.003,0.567,0.334,1.492,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,157.415985,25,-15.658108,154.099701,158.073212,-3.973511,2.456939,2.465235,1.172182,0.672679,0.26409,0.010575,0.167327,1.443111,58.336617,6.23e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723110947_dd8,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,C,26,A,2602,17,20,11:10:19,2025-07-23,Manual gsw+F,LI-COR Default,NA,020,NA,NA,0.027968,2.083709,0.027598,1.113032,1.144027,1.100807,4.271658,3.127631,13.715939,14.254457,53.224415,0.441786,7.5,PSF-00232_20250723111019_11d,0,0,0,53.062321,91.714455,0.42144,0.5,0.8,327.546387,1,34.04,32.75,25.93,30.05,30.05,80.26,90,85,5.5,1943,4.064,11:05:42,2025-07-23,0.26,1,0,0.001,0.003,0.101,0.082,1.058,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,85.755226,25,-3.596214,87.298393,86.561409,0.736984,2.457235,2.467221,1.12816,0.764779,0.26278,0.049296,0.16962,1.726908,53.062321,6.11e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723111019_11d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,C,26,B,2284,18,21,11:10:45,2025-07-23,Manual gsw+F,LI-COR Default,NA,021,NA,NA,0.03064,2.076573,0.030195,1.24175,1.155298,1.106861,4.342827,3.18753,13.791289,14.394798,54.110832,0.441786,7.5,PSF-00232_20250723111045_510,0,0,0,85.554596,119.499252,0.284057,0.5,0.8,225.773026,1,34.11,32.68,26.06,30.33,30.33,80.26,89.6,83.7,6.5,1987,4.063,11:05:42,2025-07-23,0.26,1,0,-0,0,-0.044,-0.026,-0.36,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,113.332275,25,-4.245083,112.957832,113.416435,-0.458603,2.457097,2.467303,1.125262,0.762109,0.261411,0.051278,0.171488,1.763604,85.554596,5.89e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723111045_510,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,C,27,A,2323,19,22,11:11:29,2025-07-23,Manual gsw+F,LI-COR Default,NA,022,NA,NA,-0.001447,2.155633,-0.001448,-0.050127,1.098125,1.099984,3.792434,2.694309,13.70368,13.680516,47.246403,0.441786,7.5,PSF-00232_20250723111129_f4d,0,0,0,117.885231,188.69632,0.375265,0.5,0.8,239.968781,1,32.03,32.08,26.27,27.99,27.99,80.27,94.3,46.3,50.9,1599,4.061,11:05:42,2025-07-23,0.26,1,-0,-0,0.001,0.042,-2.471,-11.206,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,182.880524,25,-4.097262,181.157471,182.825317,-1.667847,2.456146,2.464079,1.158164,0.686726,0.259257,0.020266,0.174606,1.439829,117.885231,6.13e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723111129_f4d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,C,28,A,2478,20,23,11:12:25,2025-07-23,Manual gsw+F,LI-COR Default,NA,023,NA,NA,0.022216,2.221214,0.021996,0.918441,1.13517,1.102526,4.37112,3.23595,13.738515,14.145288,54.468281,0.441786,7.5,PSF-00232_20250723111225_c64,0,0,0,58.81226,74.564651,0.211258,0.5,0.8,172.424911,1,32.55,31.61,26.56,30.45,30.45,80.25,98.3,29.7,69.8,2040,4.06,11:05:42,2025-07-23,0.26,1,0.001,0.001,0.004,-0.343,-0.851,-2.027,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,73.206779,25,-1.077368,73.517921,73.020882,0.49704,2.455384,2.464832,1.18688,0.65532,0.256313,0.046735,0.17856,1.808136,58.81226,5.81e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723111225_c64,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,C,29,A,1780,21,24,11:13:15,2025-07-23,Manual gsw+F,LI-COR Default,NA,024,NA,NA,0.008264,2.064036,0.008231,0.334106,1.167687,1.154551,4.313719,3.146033,14.387512,14.551201,53.755688,0.441786,7.5,PSF-00232_20250723111315_128,0,0,0,85.242752,102.39212,0.167487,0.5,0.8,131.671356,1,32.94,32.57,26.83,30.22,30.22,80.25,88.9,73.2,17.6,1965,4.058,11:05:42,2025-07-23,0.26,1,0.001,0,0.003,-1.775,-3.566,-6.134,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,98.669884,25,-2.814034,97.595215,98.359863,-0.764648,2.456794,2.465384,1.120205,0.7403,0.253523,0.040583,0.181999,1.745562,86.592438,6.04e-4,2.40043,-4.1e-5,1,2.408421,-3.9e-5,1,0.60025,0.601702,0.107071,0,PSF-00232_20250723111315_128,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
